#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
2864,00.79.81,1171,13,787,0.664695946,0.349662162,761,26,0,80,126,2,4,34,4,0,9,2,1,0,1,73,0,2,9,414,
2235,00.56.18,1036,4,691,0.664423077,0.410576923,675,16,5,43,105,1,23,36,0,1,6,1,2,2,0,14,1,1,7,427,
807,00.16.04,1260,18,849,0.664319249,0.343505477,785,64,1,81,115,5,32,65,6,2,3,2,1,1,0,6,1,1,24,439,
850,00.17.18,1407,5,938,0.664305949,0.330028329,926,12,3,89,148,13,28,91,6,1,6,0,0,0,0,49,1,2,23,466,
238,00.03.76,3215,14,2145,0.664292351,0.263239393,2133,12,2,339,134,7,58,305,23,0,10,3,6,2,5,269,2,2,116,850,
1985,00.49.04,972,5,649,0.664278403,0.338792221,637,12,3,85,105,4,23,27,6,1,4,0,2,1,0,22,0,2,21,331,
2005,00.49.24,1766,2,1174,0.664027149,0.370475113,1151,23,2,78,83,13,59,132,3,0,17,4,1,2,0,72,2,1,27,655,
1571,00.35.16,466,7,314,0.66384778,0.342494715,312,2,0,20,22,1,17,34,6,1,2,1,0,0,1,30,0,0,15,162,
760,00.14.08,1046,7,699,0.663817664,0.407407407,686,13,4,43,63,2,21,58,7,1,7,3,1,0,0,26,0,3,18,429,
2467,00.60.40,1380,3,918,0.663774403,0.397686189,902,16,2,35,170,5,29,52,5,0,4,3,4,1,1,25,0,3,13,550,
2959,00.81.57,905,11,608,0.663755459,0.412663755,593,15,3,43,83,0,14,29,2,1,4,0,3,0,0,26,0,1,6,378,
2759,00.69.15,1655,7,1103,0.663658243,0.341756919,1089,14,4,96,195,7,7,30,1,0,5,1,5,2,0,152,0,1,15,568,
451,00.08.06,1422,14,953,0.663649025,0.264623955,943,10,3,120,73,0,21,152,13,1,2,0,0,3,0,98,0,4,73,380,
482,00.08.37,1404,32,953,0.663649025,0.272284123,940,13,0,141,57,4,26,121,9,2,6,1,2,0,1,126,0,1,52,391,
2077,00.51.13,1769,8,1179,0.663477772,0.375351716,1149,30,3,150,126,6,21,100,4,1,2,1,2,1,0,52,0,4,9,667,
1626,00.37.09,1220,13,818,0.663422547,0.280616383,810,8,0,137,146,3,13,77,5,1,2,2,2,1,0,56,0,2,17,346,
1710,00.40.26,403,7,272,0.663414634,0.590243902,269,3,2,9,8,0,0,4,0,0,0,1,0,1,0,1,1,0,0,242,
2452,00.60.25,1464,6,975,0.663265306,0.431972789,959,16,4,68,61,7,31,47,2,2,6,0,3,1,0,57,0,3,32,635,
833,00.17.01,1429,8,953,0.663187196,0.345859429,944,9,0,103,83,6,24,116,22,3,12,5,0,0,0,47,1,1,24,497,
1816,00.44.12,282,3,189,0.663157895,0.403508772,186,3,0,24,12,3,8,12,0,0,1,0,0,0,0,2,0,0,9,115,
1651,00.38.06,1599,4,1063,0.663131628,0.474734872,1041,22,1,56,102,6,17,45,2,0,5,1,1,3,1,32,1,0,7,761,
1613,00.36.20,1389,6,925,0.663082437,0.362724014,902,23,5,62,111,7,33,68,4,1,10,2,3,3,0,54,0,3,30,506,
1826,00.44.22,172,6,118,0.662921348,0.505617978,117,1,0,11,3,0,3,6,0,0,0,0,0,0,0,4,0,0,0,90,
2438,00.60.11,341,9,232,0.662857143,0.428571429,230,2,0,7,38,0,3,17,1,0,0,0,0,0,0,13,0,0,1,150,
484,00.08.39,1873,16,1252,0.662784542,0.222869243,1246,6,1,248,70,1,33,175,14,0,5,1,3,0,0,188,0,2,84,421,
1176,00.24.11,74,9,55,0.662650602,0.445783133,55,0,0,1,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,37,
1467,00.32.42,483,12,328,0.662626263,0.416161616,324,4,0,28,55,1,2,20,1,0,1,0,0,0,0,7,1,0,2,206,
480,00.08.35,2276,12,1516,0.662587413,0.307692308,1504,12,2,197,107,2,61,138,17,1,7,3,4,2,4,170,0,4,81,704,
2173,00.54.17,385,3,257,0.662371134,0.402061856,256,1,0,21,25,0,1,27,0,0,0,0,0,0,1,20,0,0,5,156,
100,00.02.08,1675,16,1120,0.662329982,0.258426966,1110,10,3,170,60,2,28,195,5,0,2,1,1,2,0,123,0,2,79,437,
1958,00.48.14,595,3,396,0.662207358,0.448160535,385,11,3,14,28,1,9,40,2,1,2,0,0,0,0,15,0,0,2,268,
1392,00.29.09,128,20,98,0.662162162,0.506756757,96,2,0,2,4,0,4,8,0,0,0,0,0,0,0,2,0,0,1,75,
2828,00.79.45,1617,11,1078,0.662162162,0.343366093,1059,19,3,97,118,2,16,77,5,2,9,2,4,1,3,137,1,1,22,559,
81,00.01.23,2231,14,1486,0.661915367,0.273051225,1471,15,2,210,92,3,32,232,16,1,8,3,5,1,1,174,0,3,75,613,
2612,00.65.19,824,7,550,0.661853189,0.3188929,530,20,1,59,59,4,11,28,0,0,3,0,1,1,3,50,0,0,45,265,
195,00.03.33,1742,14,1162,0.661731207,0.269931663,1148,14,2,171,54,4,29,173,12,0,5,0,1,1,0,147,2,1,72,474,DIRTY
376,00.06.45,1948,41,1316,0.661639015,0.354449472,1292,24,2,154,87,3,59,102,13,0,9,1,2,3,2,118,1,3,28,705,
1606,00.36.13,1633,4,1083,0.661576054,0.419670128,1067,16,0,82,76,6,34,68,14,0,8,3,1,0,1,63,1,4,19,687,
1790,00.43.09,254,6,172,0.661538462,0.419230769,172,0,1,10,11,1,6,20,0,0,0,1,0,0,0,9,0,0,4,109,
3016,00.83.09,573,0,379,0.661431065,0.427574171,375,4,1,24,47,1,7,17,1,0,2,0,0,4,0,22,0,0,4,245,
2029,00.50.18,880,9,588,0.661417323,0.565804274,574,14,0,14,9,0,9,18,1,0,1,0,0,0,0,12,0,0,7,503,
914,00.19.15,373,2,248,0.661333333,0.453333333,246,2,2,13,6,0,13,23,0,0,1,0,1,0,0,14,1,1,1,170,
539,00.09.54,1296,15,867,0.661327231,0.26849733,856,11,1,143,79,2,31,95,16,0,7,0,3,1,1,75,1,5,44,352,DIRTY
2030,00.50.19,1143,8,761,0.661164205,0.537793223,754,7,2,15,18,1,6,33,4,0,0,0,1,1,0,32,0,1,21,619,
2908,00.81.06,650,11,437,0.661119516,0.397881997,430,7,2,42,26,3,10,33,2,1,4,0,2,0,0,28,0,1,13,263,
3015,00.83.08,832,9,556,0.661117717,0.42568371,544,12,0,20,65,3,10,20,1,0,1,1,2,0,5,53,0,1,4,358,
2870,00.79.87,1553,8,1032,0.66111467,0.34272902,999,33,1,90,143,7,14,56,1,1,5,1,4,4,3,120,0,2,12,535,
531,00.09.46,1480,13,987,0.661085064,0.29738781,968,19,1,129,46,7,33,100,10,0,11,6,2,0,0,123,2,1,53,444,DIRTY
1612,00.36.19,1103,3,731,0.660940325,0.407775769,722,9,2,42,53,4,30,51,3,1,10,1,5,0,2,41,1,6,19,451,
