#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
412,00.07.08,1422,12,865,0.60320781,0.262203626,857,8,3,105,54,5,29,105,7,0,3,5,0,4,4,104,0,1,52,376,
2474,00.61.01,1381,10,839,0.603163192,0.365204889,825,14,2,58,90,6,21,50,4,0,2,1,3,1,2,58,0,2,17,508,
1991,00.49.10,506,8,310,0.60311284,0.322957198,306,4,0,24,41,1,5,45,3,1,6,1,0,0,1,9,0,1,2,166,
2364,00.59.09,1411,10,857,0.603096411,0.328641802,851,6,3,78,69,2,24,88,3,0,3,0,5,1,0,64,1,1,42,467,
1178,00.24.13,173,26,120,0.603015075,0.346733668,117,3,0,7,27,0,2,8,0,0,0,0,0,0,0,2,0,0,2,69,
776,00.15.04,1747,6,1057,0.602966343,0.351968055,1037,20,2,91,131,6,13,97,4,0,7,0,1,0,1,36,0,5,26,617,
1260,00.26.06,146,10,94,0.602564103,0.480769231,88,6,0,2,6,0,0,3,0,1,0,0,0,0,0,0,0,1,0,75,
2745,00.69.01,1796,14,1090,0.602209945,0.294475138,1071,19,1,152,139,8,29,60,3,0,1,1,3,3,1,110,2,3,22,533,
522,00.09.37,1366,14,831,0.602173913,0.271014493,824,7,1,105,56,1,31,100,7,0,8,4,3,2,2,70,3,3,54,374,
1486,00.32.61,1559,7,943,0.602171137,0.32183908,934,9,1,90,97,3,44,67,9,0,7,2,1,0,1,91,0,1,16,504,
3050,00.84.02,475,0,286,0.602105263,0.454736842,275,11,0,12,36,0,0,0,0,0,1,0,0,0,7,2,0,1,0,216,
612,00.10.46,1478,12,897,0.602013423,0.251677852,891,6,3,140,67,4,33,93,12,0,8,1,3,0,2,90,0,2,58,375,
1693,00.40.09,328,1,198,0.601823708,0.507598784,197,1,0,1,16,2,2,9,0,0,0,0,0,0,0,0,0,0,0,167,
1709,00.40.25,330,4,201,0.601796407,0.556886228,198,3,1,2,2,0,1,5,0,0,0,0,0,1,0,0,0,0,0,186,
337,00.06.06,1283,15,781,0.601694915,0.275038521,775,6,0,87,58,6,30,81,11,1,7,1,1,1,1,83,0,1,49,357,
567,00.10.01,1648,9,997,0.601689801,0.268557634,988,9,3,127,83,1,52,84,14,1,10,2,3,2,1,111,1,3,45,445,
1735,00.40.51,577,18,358,0.601680672,0.54789916,358,0,0,2,27,2,0,1,0,0,0,0,0,0,0,0,0,0,0,326,
1997,00.49.16,1318,5,796,0.601662887,0.365079365,776,20,5,54,82,7,12,66,2,0,1,0,0,1,1,37,1,4,20,483,
3082,00.84.34,246,5,151,0.601593625,0.402390438,149,2,0,6,25,0,1,5,0,0,0,0,0,0,0,11,0,0,0,101,
588,00.10.22,1511,15,918,0.601572739,0.240498034,898,20,0,140,56,3,31,131,4,2,9,2,0,0,1,99,1,1,51,367,
2620,00.65.27,886,5,536,0.601571268,0.390572391,525,11,0,56,42,3,10,14,0,1,0,1,1,0,0,43,1,1,4,348,
2448,00.60.21,1045,4,631,0.601525262,0.397521449,621,10,0,40,54,3,12,53,2,1,4,1,0,0,0,22,0,1,11,417,
1062,00.22.29,1597,14,969,0.601489758,0.470515208,944,25,0,1,117,1,4,60,1,1,1,0,0,0,0,0,0,0,0,758,
1691,00.40.07,534,3,323,0.601489758,0.525139665,312,11,0,4,5,1,0,20,0,0,0,0,0,0,0,0,0,0,0,282,
2309,00.58.12,421,8,258,0.601398601,0.312354312,251,7,2,33,41,6,7,12,0,1,1,2,0,0,0,4,0,1,7,134,
1157,00.23.44,446,8,273,0.601321586,0.453744493,268,5,3,6,17,0,2,17,1,0,0,0,1,0,0,5,1,0,9,206,
687,00.12.04,1360,7,822,0.601316752,0.356986101,805,17,3,76,58,4,10,85,5,1,5,0,2,0,0,56,0,3,9,488,
938,00.20.19,1297,12,787,0.601222307,0.266615737,778,9,1,98,73,7,28,89,5,0,11,3,2,0,0,75,1,1,35,349,
2582,00.64.25,197,6,122,0.600985222,0.359605911,121,1,0,6,21,0,1,8,1,0,0,0,1,0,0,9,0,1,0,73,
460,00.08.15,2285,13,1381,0.600957354,0.256309835,1366,15,1,218,99,2,38,153,14,0,5,3,3,3,0,165,1,3,69,589,
840,00.17.08,1472,69,926,0.600908501,0.292667099,917,9,2,88,169,1,33,83,8,1,7,1,1,0,0,54,1,1,16,451,
803,00.15.31,1542,9,932,0.600902643,0.305609284,914,18,5,102,108,6,17,104,10,1,8,2,1,2,1,54,1,2,16,474,
2809,00.79.26,1710,16,1037,0.600811124,0.257821553,1004,33,2,120,158,6,7,92,2,1,4,1,2,1,4,122,0,2,35,445,
507,00.09.22,2276,16,1377,0.60078534,0.239092496,1368,9,1,200,101,3,63,171,15,3,11,1,4,2,3,152,1,1,88,548,
698,00.12.15,1292,8,781,0.600769231,0.374615385,758,23,1,75,69,6,10,51,8,1,4,1,1,0,1,33,0,2,8,487,
636,00.10.70,1520,15,922,0.600651466,0.25276873,914,8,2,125,66,2,32,99,19,1,11,0,3,2,0,103,0,1,60,388,
2256,00.56.39,1187,2,714,0.600504626,0.37510513,700,14,4,47,73,4,9,74,1,1,3,1,1,1,0,25,2,2,6,446,
664,00.11.21,1233,11,747,0.600482315,0.430868167,746,1,1,21,56,1,14,39,4,0,3,1,2,0,0,57,1,0,10,536,
2820,00.79.37,1522,12,921,0.600391134,0.300521512,892,29,2,115,91,6,17,66,6,0,12,2,2,3,2,93,0,2,12,461,
2798,00.79.15,1573,11,951,0.600378788,0.256944444,926,25,0,168,130,6,8,66,0,2,3,0,3,0,1,106,0,1,25,407,
1386,00.29.03,633,5,383,0.60031348,0.42476489,376,7,2,15,9,1,13,23,2,0,0,0,1,0,0,31,0,2,6,271,
2768,00.70.08,1258,18,766,0.60031348,0.323667712,754,12,1,108,49,2,8,42,2,1,5,5,5,1,0,83,0,0,29,413,
1624,00.37.07,673,10,410,0.600292826,0.387994143,403,7,2,26,48,0,3,18,3,0,5,0,0,3,0,20,0,2,8,265,
2818,00.79.35,1589,9,959,0.600125156,0.257196496,933,26,4,119,111,2,15,99,8,1,9,0,5,1,3,112,2,1,30,411,
1319,00.27.25,872,3,525,0.6,0.314285714,517,8,0,86,61,3,11,33,4,0,1,0,0,1,0,36,0,2,4,275,
1783,00.43.02,1063,12,645,0.6,0.350697674,640,5,4,61,30,5,26,80,2,0,1,0,0,0,0,38,2,1,13,377,
2499,00.61.26,286,4,174,0.6,0.289655172,174,0,1,38,16,1,1,22,3,0,1,0,0,0,0,3,0,0,4,84,
2579,00.64.22,1349,11,816,0.6,0.302941176,800,16,0,151,67,6,21,32,0,0,1,1,2,1,0,91,1,3,11,412,
2598,00.65.05,568,7,345,0.6,0.326956522,338,7,0,82,23,2,1,15,0,0,2,1,0,0,0,21,0,0,3,188,
2432,00.60.05,2363,4,1420,0.599915505,0.320659062,1393,27,1,130,85,9,37,180,16,0,11,4,3,0,1,127,0,1,29,759,
1415,00.30.22,1223,4,736,0.599837001,0.345558272,725,11,0,38,124,0,29,44,5,0,4,1,2,1,0,45,2,0,6,424,
887,00.18.12,803,4,484,0.599752169,0.371747212,478,6,0,29,102,2,7,20,2,1,0,1,2,0,1,7,0,2,2,300,
339,00.06.08,2252,9,1356,0.599734631,0.264484741,1337,19,1,181,115,4,32,104,27,1,10,4,5,3,0,155,2,6,89,598,
2270,00.57.04,1488,16,902,0.599734043,0.338430851,889,13,0,119,86,5,25,48,2,0,4,1,1,0,1,55,1,3,29,509,
1444,00.32.19,1410,14,854,0.599719101,0.297050562,846,8,2,104,75,3,19,90,11,0,5,1,1,1,2,87,0,2,20,423,
773,00.15.01,1401,8,845,0.599716111,0.397444996,826,19,3,58,80,6,9,56,3,0,6,1,1,1,1,23,1,1,16,560,
825,00.16.22,1342,12,812,0.599704579,0.331610044,800,12,2,55,99,4,19,94,5,1,4,0,1,0,1,51,0,2,13,449,
2239,00.56.22,619,8,376,0.599681021,0.331738437,371,5,1,52,21,4,12,35,3,0,1,0,3,4,0,16,0,2,9,208,
3086,00.84.38,432,0,259,0.599537037,0.435185185,254,5,3,13,20,0,0,17,1,0,0,0,0,0,6,6,0,0,0,188,
562,00.09.77,2524,13,1521,0.599527,0.237288136,1509,12,2,260,86,8,55,182,12,5,18,2,5,4,6,181,2,4,75,602,
2788,00.79.05,2719,14,1638,0.599341383,0.233443103,1597,41,4,240,206,6,24,179,13,3,14,1,3,2,3,197,1,1,62,638,
1304,00.27.10,1059,9,640,0.599250936,0.407303371,628,12,1,30,42,4,11,53,8,0,4,0,1,0,0,26,0,2,11,435,
1293,00.26.39,249,3,151,0.599206349,0.420634921,148,3,0,13,5,0,4,6,1,0,0,0,0,0,0,12,0,0,1,106,
437,00.07.33,1523,16,922,0.599090318,0.243014945,911,11,2,128,79,4,26,112,6,1,6,1,0,1,0,108,1,4,58,374,
2631,00.66.03,2386,3,1431,0.598995396,0.376726664,1402,29,2,141,129,6,20,93,5,1,2,1,2,1,1,70,4,7,17,900,
3051,00.84.03,365,4,221,0.598915989,0.411924119,215,6,1,15,20,1,0,7,1,0,0,0,0,0,2,14,0,0,2,152,
2762,00.70.02,2171,15,1309,0.598810613,0.307410796,1297,12,1,188,114,7,21,77,9,1,6,0,4,2,4,118,1,4,68,672,
230,00.03.68,1885,14,1137,0.598736177,0.310689837,1119,18,2,101,69,1,62,102,11,0,11,3,5,1,2,116,1,4,38,590,
2312,00.58.15,1228,8,740,0.598705502,0.343042071,730,10,2,71,61,5,26,59,9,2,7,1,2,1,0,41,1,2,16,424,
1285,00.26.31,144,3,88,0.598639456,0.482993197,82,6,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,71,
1937,00.47.33,137,5,85,0.598591549,0.450704225,84,1,0,6,4,1,2,6,0,0,0,0,0,0,0,1,0,0,0,64,
563,00.09.78,2374,15,1430,0.59857681,0.265801591,1420,10,2,203,96,5,40,138,20,1,17,0,2,2,3,155,1,5,95,635,
2088,00.51.24,1176,7,708,0.598478445,0.334742181,686,22,1,52,76,3,10,64,3,1,2,1,2,2,0,63,0,1,9,396,
1457,00.32.32,749,13,456,0.598425197,0.342519685,450,6,2,39,39,0,19,30,1,0,3,1,0,0,0,41,0,1,13,261,
2852,00.79.69,1772,48,1089,0.598351648,0.295054945,1048,41,0,123,99,8,15,86,1,0,9,0,1,0,1,134,0,0,34,537,
883,00.18.08,1291,1,773,0.598297214,0.326625387,752,21,4,47,128,6,16,75,3,0,3,2,3,0,0,29,0,2,12,422,
2111,00.52.03,1772,10,1066,0.598204265,0.318742985,1047,19,3,157,106,3,16,84,5,0,4,2,3,1,2,57,0,1,35,568,
2189,00.54.33,427,11,262,0.598173516,0.376712329,257,5,0,26,26,1,3,19,0,0,2,0,0,0,0,12,0,2,1,165,
1505,00.32.80,1809,10,1088,0.598130841,0.336998351,1070,18,2,104,111,4,43,88,3,2,5,2,0,0,1,68,1,3,20,613,
579,00.10.13,1291,5,775,0.597993827,0.289351852,770,5,2,93,50,3,37,67,8,0,2,2,1,0,3,85,1,2,39,375,
3026,00.83.19,1056,11,638,0.597938144,0.329896907,615,23,1,39,94,2,8,45,2,0,3,1,1,0,0,60,0,0,7,352,
1500,00.32.75,1241,5,745,0.597913323,0.429373997,737,8,0,25,51,1,20,51,0,0,3,5,1,0,1,30,0,0,14,535,
318,00.05.44,1706,15,1029,0.597908193,0.244625218,1020,9,0,142,82,3,43,121,7,4,5,2,2,3,3,114,1,5,62,421,
2538,00.63.01,1942,20,1173,0.597859327,0.364424057,1147,26,3,105,116,10,30,49,10,0,4,3,0,1,0,76,0,5,20,715,
1167,00.24.02,1262,16,764,0.597809077,0.391236307,758,6,3,52,89,3,7,48,2,2,2,1,0,0,0,35,0,0,14,500,
2233,00.56.16,1231,7,740,0.597738288,0.337641357,727,13,2,61,140,4,15,45,1,2,1,4,2,0,0,18,2,1,11,418,
1607,00.36.14,345,8,211,0.597733711,0.413597734,206,5,0,10,23,2,5,5,0,0,0,0,0,1,0,10,0,4,0,146,
971,00.20.52,2449,7,1468,0.59771987,0.245928339,1468,0,3,204,175,7,48,157,10,2,22,4,3,1,2,153,1,4,68,604,
650,00.11.07,873,2,523,0.597714286,0.406857143,517,6,0,22,47,1,21,39,5,0,9,0,0,1,0,9,0,0,7,356,
3055,00.84.07,606,3,364,0.597701149,0.354679803,351,13,0,22,45,2,0,16,1,0,1,1,1,1,2,39,0,1,3,216,
2163,00.54.07,1341,6,805,0.59762435,0.397178916,790,15,1,53,55,0,22,50,5,1,3,0,2,0,0,46,0,0,17,535,
1920,00.47.16,75,7,49,0.597560976,0.390243902,49,0,1,2,5,0,4,4,0,0,0,0,0,0,0,1,0,0,0,32,
417,00.07.13,1967,18,1186,0.597481108,0.235768262,1173,13,2,229,94,6,39,118,9,0,8,1,4,1,1,128,1,4,60,468,
1364,00.28.30,784,6,472,0.597468354,0.335443038,474,-2,3,57,16,1,17,38,40,0,1,0,1,0,0,29,0,0,6,265,DIRTY
857,00.17.25,306,2,184,0.597402597,0.353896104,183,1,0,6,25,0,10,10,0,0,1,0,0,0,0,11,0,0,11,109,
1903,00.46.22,148,6,92,0.597402597,0.376623377,92,0,0,1,8,0,1,22,0,0,0,0,0,0,0,1,0,0,1,58,
403,00.06.71,1590,12,957,0.597378277,0.220973783,951,6,2,170,75,2,25,121,13,0,3,1,3,3,3,126,2,5,43,354,
2704,00.67.52,1125,5,675,0.597345133,0.312389381,663,12,2,121,116,4,9,31,2,0,0,0,0,0,0,21,0,3,1,353,
2370,00.59.15,1382,16,835,0.597281831,0.283261803,826,9,3,100,75,5,16,68,6,2,6,1,1,0,0,97,4,0,46,396,
2585,00.64.28,1072,8,645,0.597222222,0.324074074,636,9,1,82,100,6,12,27,2,1,2,0,1,0,0,50,0,1,1,350,
2241,00.56.24,976,7,587,0.597151577,0.404883011,576,11,1,40,34,4,9,38,2,2,1,0,1,3,0,29,0,1,13,398,
2082,00.51.18,1357,8,815,0.597069597,0.306959707,800,15,3,100,75,4,19,87,3,1,2,2,3,22,0,34,1,1,24,419,
2833,00.79.50,2197,14,1320,0.597014925,0.280868385,1277,43,0,174,129,7,18,114,7,4,6,2,2,2,1,142,0,2,46,621,
323,00.05.49,1496,5,896,0.596935376,0.27248501,889,7,1,115,62,4,27,97,13,0,6,1,3,6,1,93,0,5,46,409,
1388,00.29.05,620,5,373,0.5968,0.4624,370,3,0,7,10,0,22,20,0,0,0,0,1,0,0,16,0,1,4,289,
632,00.10.66,1576,16,950,0.596733668,0.201005025,942,8,1,162,92,0,24,117,20,0,7,1,3,0,3,128,0,1,63,320,
2800,00.79.17,1620,14,975,0.596695226,0.242350061,959,16,2,141,139,7,13,103,8,3,3,1,3,1,1,104,1,2,31,396,
1906,00.47.02,1044,12,630,0.596590909,0.384469697,619,11,1,84,30,2,11,35,1,0,3,0,1,0,1,35,0,2,7,406,
2526,00.62.22,638,4,383,0.596573209,0.364485981,367,16,0,44,31,4,10,26,1,0,1,1,0,0,1,12,0,0,2,234,
660,00.11.17,2275,7,1361,0.596406661,0.352322524,1334,27,1,59,157,3,41,118,16,2,17,0,4,2,0,82,0,2,26,804,
2559,00.64.02,926,13,560,0.596379127,0.317358892,554,6,1,74,58,4,10,28,2,0,2,0,1,0,1,64,0,1,10,298,
2322,00.58.25,919,10,554,0.596340151,0.375672766,545,9,2,33,70,6,14,29,3,0,12,2,1,0,0,16,0,2,6,349,
2772,00.70.12,2350,13,1409,0.59627592,0.27084215,1388,21,10,221,149,5,26,122,5,1,9,1,4,1,0,138,1,2,53,640,
232,00.03.70,1394,15,840,0.596167495,0.296664301,827,13,1,89,54,2,27,89,17,1,9,0,0,1,0,91,0,1,27,418,
1645,00.37.28,863,13,522,0.595890411,0.302511416,521,1,1,65,75,3,12,53,3,0,8,0,1,0,1,24,2,0,8,265,
1227,00.25.12,286,1,171,0.595818815,0.327526132,167,4,0,19,17,0,0,3,0,1,0,4,0,0,25,3,0,0,1,94,
2210,00.55.20,1091,5,653,0.59580292,0.362226277,635,18,0,47,78,2,18,46,4,0,2,0,0,0,0,31,0,2,8,397,
816,00.16.13,317,7,193,0.595679012,0.432098765,188,5,0,12,18,1,0,13,0,0,1,1,0,0,0,1,0,0,1,140,
1115,00.23.02,2517,13,1507,0.595652174,0.398814229,1482,25,3,86,103,3,40,84,9,2,4,2,2,1,2,88,0,3,41,1009,
2178,00.54.22,1047,9,629,0.595643939,0.386363636,623,6,1,70,53,5,6,38,0,0,8,1,3,1,1,15,0,1,12,408,
2611,00.65.18,847,6,508,0.595545135,0.341148886,501,7,3,62,55,9,9,23,2,0,1,0,1,0,3,35,1,0,6,291,
2109,00.52.01,1063,10,639,0.595526561,0.35694315,630,9,1,83,56,3,5,34,6,1,2,0,1,0,1,37,0,0,17,383,
2907,00.81.05,2258,11,1351,0.595416483,0.347730278,1326,25,1,138,127,4,22,80,4,1,7,5,7,1,2,101,0,0,37,789,
1763,00.41.17,109,12,72,0.595041322,0.537190083,71,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,65,
1751,00.41.05,1273,5,760,0.594679186,0.511737089,758,2,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,
2102,00.51.38,665,6,399,0.594634873,0.314456036,395,4,1,23,38,3,8,35,1,1,5,2,0,2,0,51,1,1,12,211,
1166,00.24.01,1087,28,663,0.594618834,0.423318386,648,15,1,25,56,3,15,37,2,1,5,0,1,0,0,18,0,2,10,472,
2114,00.52.06,718,7,431,0.594482759,0.347586207,427,4,2,42,55,7,7,28,2,0,2,0,1,0,0,20,0,0,9,252,
648,00.11.05,1396,12,837,0.594460227,0.350852273,826,11,1,39,79,2,23,70,11,1,4,1,2,1,0,71,0,2,25,494,
382,00.06.50,1350,430,1058,0.594382022,0.350561798,1040,18,2,93,76,8,34,66,7,0,10,1,1,0,2,82,1,8,25,624,
2229,00.56.12,1133,6,677,0.594381036,0.422300263,660,17,4,14,42,4,27,42,1,1,1,0,1,0,1,27,0,3,11,481,
934,00.20.15,1054,11,633,0.594366197,0.208450704,627,6,2,84,82,1,21,68,8,3,9,3,3,1,2,82,1,0,35,222,
548,00.09.63,1440,12,863,0.594352617,0.214876033,853,10,2,128,90,2,30,90,14,2,9,4,1,1,0,102,0,0,66,312,
910,00.19.11,777,2,463,0.594351733,0.368421053,461,2,1,35,28,1,16,41,5,1,3,0,2,0,0,33,0,3,5,287,
2234,00.56.17,521,4,312,0.594285714,0.32952381,308,4,1,35,48,3,2,26,2,0,2,1,1,0,0,14,0,0,0,173,
1439,00.32.14,1836,15,1100,0.594273366,0.284170719,1082,18,3,121,107,4,27,96,11,3,9,1,6,5,2,124,0,2,35,526,
2513,00.62.09,376,6,227,0.594240838,0.371727749,225,2,0,21,16,2,13,18,0,1,0,0,0,1,3,6,0,0,2,142,
435,00.07.31,1593,11,953,0.594139651,0.261845387,944,9,1,147,66,1,26,114,6,1,13,1,0,0,1,92,0,3,52,420,
2838,00.79.55,1410,14,846,0.594101124,0.283707865,821,25,3,109,105,6,18,39,0,2,7,0,2,3,13,92,0,2,16,404,
401,00.06.69,979,16,591,0.593969849,0.257286432,587,4,0,86,46,3,12,78,8,0,9,1,3,3,0,62,0,4,16,256,
1175,00.24.10,451,7,272,0.593886463,0.436681223,263,9,0,6,48,1,2,3,0,1,0,0,0,0,0,2,0,0,0,200,
1376,00.28.42,321,4,193,0.593846154,0.403076923,191,2,0,11,8,0,5,12,2,0,1,1,0,0,0,18,0,0,2,131,
2963,00.82.04,415,6,250,0.593824228,0.339667458,242,8,1,7,55,1,2,14,1,0,2,0,0,0,1,14,0,0,1,143,
851,00.17.19,1850,6,1102,0.59375,0.36799569,1082,20,1,63,129,7,37,99,8,0,6,2,2,1,0,38,1,1,4,683,
2335,00.58.38,1051,5,627,0.59375,0.378787879,624,3,0,39,80,2,5,61,3,1,4,1,0,0,1,21,0,2,4,400,
1409,00.30.16,1324,10,792,0.593703148,0.289355322,782,10,2,81,89,3,40,99,6,0,1,0,4,0,0,46,0,2,23,386,DIRTY
1756,00.41.10,373,6,225,0.593667546,0.538258575,225,0,0,0,13,0,1,2,0,1,0,0,2,0,1,0,0,0,1,204,
842,00.17.10,1473,11,881,0.593665768,0.228436658,867,14,3,107,166,3,26,113,9,0,11,1,1,1,0,54,2,1,30,339,
2331,00.58.34,773,7,463,0.593589744,0.362820513,459,4,0,29,57,3,17,37,1,1,5,0,1,0,0,14,0,1,10,283,
2551,00.63.14,957,5,571,0.593555094,0.347193347,557,14,1,54,106,4,8,11,8,0,2,0,1,1,0,21,3,3,0,334,
1153,00.23.40,1413,14,847,0.593552908,0.467414156,818,29,2,24,34,1,13,34,2,1,1,0,1,0,0,25,0,1,12,667,
653,00.11.10,1223,7,730,0.593495935,0.277235772,716,14,3,45,82,3,51,78,9,1,12,2,1,0,2,66,0,0,20,341,
1316,00.27.22,485,7,292,0.593495935,0.31097561,289,3,0,31,29,0,15,27,4,0,2,1,1,0,1,15,1,0,9,153,
421,00.07.17,1609,17,965,0.593480935,0.240467405,953,12,1,174,67,2,22,119,10,0,8,0,1,0,1,108,0,2,47,391,
2203,00.55.13,456,4,273,0.593478261,0.32826087,268,5,1,20,30,1,6,15,2,1,1,0,0,0,0,37,0,0,3,151,
1075,00.22.42,1216,4,724,0.593442623,0.506557377,718,6,0,18,32,0,0,50,0,0,0,0,0,0,0,0,0,0,0,618,
1780,00.41.34,660,4,394,0.593373494,0.527108434,382,12,1,5,21,1,0,1,1,0,0,0,1,0,0,0,0,0,1,350,
2810,00.79.27,1492,13,893,0.593355482,0.277740864,845,48,3,80,132,6,14,53,2,1,6,0,2,3,3,98,0,3,21,418,
2394,00.59.39,977,9,585,0.593306288,0.287018256,576,9,2,82,37,2,26,55,4,2,6,1,5,1,0,49,0,3,18,283,
693,00.12.10,1359,8,811,0.593269934,0.329188003,799,12,1,52,87,8,25,97,7,2,10,0,3,0,0,40,0,2,15,450,
1291,00.26.37,466,6,280,0.593220339,0.338983051,277,3,0,15,23,0,15,30,3,0,0,1,1,1,0,22,0,0,6,160,
2146,00.53.14,1639,3,974,0.59317905,0.415956151,964,10,2,61,81,4,19,57,3,0,5,2,3,4,1,23,0,2,14,683,
565,00.09.80,2538,11,1512,0.593173794,0.252255787,1484,28,3,214,122,2,60,149,16,0,13,6,4,1,4,158,0,4,85,643,
352,00.06.21,1389,12,831,0.593147752,0.26124197,822,9,0,125,72,3,23,76,11,1,6,4,3,2,2,79,0,0,49,366,
625,00.10.59,1275,15,765,0.593023256,0.224031008,756,9,1,124,62,1,24,83,13,0,9,1,3,0,1,102,0,2,41,289,
2699,00.67.47,1391,7,829,0.592989986,0.345493562,818,11,1,131,107,4,4,25,2,0,2,1,1,0,0,42,0,2,13,483,
1801,00.43.20,107,6,67,0.592920354,0.353982301,67,0,0,9,1,1,2,12,0,0,0,0,0,0,0,1,0,0,1,40,
631,00.10.65,2691,16,1605,0.592907277,0.215367566,1582,23,3,265,138,7,60,196,21,1,16,1,4,2,1,173,1,6,104,583,
532,00.09.47,1471,15,881,0.592866756,0.223418573,872,9,1,118,74,4,37,110,18,1,7,4,3,0,2,95,0,0,66,332,
1185,00.24.20,413,7,249,0.592857143,0.483333333,243,6,0,1,34,1,3,0,0,0,0,0,0,0,0,1,0,0,0,203,
1772,00.41.26,629,7,377,0.592767296,0.520440252,372,5,0,10,28,1,0,0,0,1,0,0,0,0,1,0,0,0,0,331,
547,00.09.62,1288,11,770,0.592763664,0.220169361,759,11,1,105,65,3,35,87,13,1,6,1,2,1,1,99,1,2,50,286,
2804,00.79.21,1673,11,998,0.59263658,0.289192399,971,27,5,107,147,10,13,62,4,1,7,1,8,0,7,97,0,0,15,487,
1065,00.22.32,1055,3,627,0.592627599,0.371455577,611,16,0,14,180,0,2,22,0,0,0,0,0,0,0,0,0,0,0,393,
940,00.20.21,1532,12,915,0.59261658,0.251295337,902,13,0,121,86,1,35,90,16,3,12,5,4,0,0,92,1,2,46,388,
581,00.10.15,2151,14,1283,0.5926097,0.260969977,1274,9,3,202,82,1,57,108,23,1,13,3,1,1,4,139,2,6,63,565,
2906,00.81.04,896,12,538,0.592511013,0.377753304,512,26,3,25,64,3,4,17,3,2,4,0,2,1,0,38,0,1,2,343,
197,00.03.35,2598,13,1547,0.592493298,0.277288395,1526,21,2,223,123,2,36,186,13,1,13,2,1,1,5,120,0,2,72,724,
2250,00.56.33,1189,6,708,0.592468619,0.427615063,705,3,0,32,37,3,24,50,3,1,6,0,2,0,0,24,0,3,9,511,
439,00.07.35,1367,12,817,0.592458303,0.245830312,808,9,1,106,66,0,11,128,4,1,6,6,0,0,1,90,0,2,47,339,
2257,00.56.40,475,1,282,0.592436975,0.384453782,279,3,0,16,34,1,8,25,3,0,1,1,0,0,0,5,1,0,1,183,
604,00.10.38,1645,11,981,0.592391304,0.256038647,972,9,5,118,83,5,31,100,16,2,10,4,6,3,0,118,1,5,41,424,
1480,00.32.55,2722,11,1619,0.592389316,0.29564581,1598,21,6,158,136,3,48,161,21,1,17,4,2,3,0,163,0,2,65,808,
2934,00.81.32,1930,10,1149,0.592268041,0.40257732,1109,40,4,34,130,4,13,40,5,1,7,0,3,0,0,73,0,1,13,781,
2237,00.56.20,1407,3,835,0.592198582,0.409219858,830,5,1,55,57,3,37,64,0,0,3,0,0,0,0,25,0,1,7,577,
226,00.03.64,3207,13,1906,0.591925466,0.281055901,1881,25,2,269,148,4,52,167,11,1,8,2,4,4,2,196,3,5,98,905,
555,00.09.70,1384,15,828,0.591851322,0.239456755,819,9,1,110,65,0,42,104,11,0,9,2,1,0,1,87,0,1,50,335,
423,00.07.19,2289,9,1360,0.591818973,0.255004352,1342,18,1,217,91,1,50,126,12,0,13,0,2,2,5,154,2,6,74,586,
2228,00.56.11,461,2,274,0.591792657,0.3412527,270,4,2,20,23,1,7,33,4,0,1,0,0,2,0,11,1,1,6,158,
1602,00.36.09,1703,2,1009,0.591788856,0.402932551,1002,7,4,49,53,6,46,72,7,2,7,0,1,0,0,45,0,2,21,687,
1526,00.33.06,1914,9,1138,0.591783671,0.333853354,1112,26,4,73,112,3,24,103,7,0,10,0,4,5,2,90,1,0,32,642,
1539,00.33.19,2378,3,1409,0.591768165,0.373792524,1373,36,3,99,124,2,27,102,9,7,10,2,3,1,1,74,0,2,17,890,
2179,00.54.23,1757,4,1042,0.591709256,0.341851221,1026,16,3,66,153,4,22,92,4,0,9,0,3,0,0,44,3,3,18,602,
504,00.09.19,1315,12,785,0.59155991,0.269781462,778,7,2,96,54,3,30,78,4,0,11,1,1,0,1,91,1,3,44,358,
1434,00.32.09,1474,17,882,0.591549296,0.282360832,864,18,0,102,65,0,21,93,12,1,3,0,3,0,0,96,0,1,46,421,
994,00.21.14,1240,13,741,0.591380686,0.316839585,733,8,6,45,70,0,42,59,12,1,12,3,3,1,1,61,0,1,19,397,
813,00.16.10,1428,6,848,0.591352859,0.384239888,837,11,2,45,95,2,28,67,4,0,5,0,1,0,2,27,1,2,5,551,
1523,00.33.03,1467,11,874,0.591339648,0.316644114,861,13,1,75,92,4,25,97,10,0,8,2,3,2,0,51,1,2,20,468,
1429,00.32.04,1457,16,871,0.591310251,0.296673456,859,12,3,97,63,0,21,92,6,2,4,1,2,1,1,91,2,2,34,437,
512,00.09.27,1288,13,769,0.591083782,0.23366641,765,4,3,126,52,2,38,95,11,1,12,1,1,6,1,70,0,2,40,304,
